﻿# Bermuda Coral d18O and Sr/Ca Data
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
#
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/1872
# Online_Resource: 
#
# Original_Source_URL: http://www1.ncdc.noaa.gov/pub/data/paleo/coral/atlantic/bermuda.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#
#--------------------
# Contribution_Date
#	Date: 2002-12-01
#--------------------
# Title
#	Study_Name: Northeast Breakers - del18O, del13C, and Sr/Ca Data
#--------------------
# Investigators
#       Investigators: Kuhnert, H.; Pätzold, J.; Schnetger, B.; Wefer, G. 
#--------------------
# Description_and_Notes
#	Description: 
#--------------------
# Publication 
#       Authors: Kuhnert, H.; Pätzold, J.; Schnetger, B.; Wefer, G. 
#       Published_Date_or_Year: 2002-05-20
#       Published_Title: Sea-surface temperature variability in the 16th century at Bermuda inferred from coral records. 
#       Journal_Name: Palaeogeography, Palaeoclimatology, Palaeoecology
#       Volume: 179
#       Edition: 
#       Issue: 
#       Pages: 159-171
#       DOI: 10.1016/S0031-0182(01)00410-2
#       Online_Resource: 
#       Full_Citation: Kuhnert, H., J. Pätzold, B. Schnetger, and G. Wefer. 2002. Sea-surface temperature variability in the 16th century at Bermuda inferred from coral records. Palaeogeography, Palaeoclimatology, Palaeoecology 179:159-171, 20 May 2002.
#       Abstract: Records of skeletal d18O in monthly and Sr/Ca ratios in half-yearly resolution were obtained from a Bermuda coral (Diploria labyrinthiformis) for the time period 1520-1603 (±15 years) A.D. within the Little Ice Age. Annual and decadal averages of both sea surface temperature proxies indicate temperature variabilities of 0.5 °C (standard deviation) and 0.3 °C, respectively. Both numbers are close to recent instrumental observations. Approximately 30% of the interannual time series variance of d18O is concentrated in broad bands centered at periods of ~30, 16, and 7.8 years, the last two reflecting the influence of the North Atlantic Oscillation. Although this large-scale climate signal is present in the record, there is no correlation with other contemporaneous Northern Hemisphere proxy data, resulting from spatial differences in climate variability.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Northeast Breakers, Bermuda
#       Location: Ocean>Atlantic Ocean>North Atlantic Ocean>Bermuda
#	Country: Bermuda 
#	Northernmost_Latitude: 32.47 
# 	Southernmost_Latitude: 32.47 
# 	Easternmost_Longitude: -64.70 
# 	Westernmost_Longitude: -64.70 
# 	Elevation: -11 m  
#------------------
# Data_Collection   
#	Collection_Name: 02berm01a
#	Earliest_Year: 1519
#	Most_Recent_Year: 1604
#	Time_Unit: AD
#	Core_Length: 0.26879 m
#	Notes: 
#------------------
# Species
#	Species_Name: Diploria labyrinthiformis 
#	Common_Name: 
#------------------
# Chronology_Information
# 	Chronology: 
# 
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,years AD, , , , ,N
##d18O	delta 18O, Diploria labyrinthiformis, , permil VPDB, , corals and sclerosponges, , ,N
##Sr/Ca	Strontium/Calcium, Diploria labyrinthiformis, ,mmol/mol, ,corals and sclerosponges, , analytical technique: ICP-AES,N
##d13C	delta 13C, Diploria labyrinthiformis, , permil VPDB, , corals and sclerosponges, , ,N
##depth	depth, , , mm, , , , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN
#
age	d18O	Sr/Ca	d13C	depth
1535.1	-3.16	NAN	0.98	212.55
1535	-3.3	NAN	0.91	212.95
1534.95	-3.76	NAN	0.41	213.16
1534.84	-3.88	NAN	0.12	213.56
1534.79	-3.93	NAN	-0.12	213.77
1534.73	-4	9.04	-0.44	213.97
1534.68	-3.88	NAN	-0.16	214.17
1534.63	-3.85	NAN	0.16	214.37
1534.58	-3.69	NAN	0.19	214.58
1534.52	-3.6	NAN	0.07	214.78
1534.47	-3.52	NAN	0.13	214.98
1534.42	-3.32	NAN	0.22	215.19
1534.37	-3.09	NAN	0.26	215.39
1534.31	-3.25	NAN	0.23	215.59
1534.26	-2.54	NAN	0.78	215.8
1534.21	-2.53	9.31	0.57	216
1534.15	-2.99	NAN	0.56	216.2
1534.08	-3.1	NAN	0.74	216.41
1533.96	-3.42	NAN	0.5	216.81
1533.9	-3.17	NAN	0.17	217.01
1533.83	-3.56	NAN	0.36	217.22
1533.71	-3.58	NAN	0.21	217.62
1533.58	-3.57	NAN	-0.12	218.03
1533.52	-3.65	9.1	-0.22	218.23
1533.46	-3.44	NAN	-0.13	218.44
1533.4	-3.13	NAN	-0.06	218.64
1533.27	-3.34	NAN	0.09	219.05
1533.21	-2.97	9.22	0.33	219.25
1533.08	-3.19	NAN	0.51	219.66
1533.01	-3.31	NAN	0.67	219.86
1532.94	-3.3	NAN	0.7	220.06
1532.81	-3.59	NAN	0.52	220.47
1532.74	-3.9	9.07	0.18	220.67
1532.68	-3.69	NAN	0.36	220.87
1532.61	-3.62	NAN	-0.3	221.08
1532.54	-3.68	NAN	0.38	221.28
1532.48	-3.65	NAN	-0.23	221.48
1532.34	-3.46	NAN	0.48	221.89
1532.28	-3.19	NAN	0.32	222.09
1532.21	-3.18	9.26	0.55	222.3
1532.15	-3.28	NAN	0.68	222.5
1532.1	-3.21	NAN	0.88	222.7
1532.04	-3.44	NAN	0.71	222.9
1531.99	-3.54	NAN	0.55	223.11
1531.93	-3.76	NAN	0.44	223.31
1531.88	-3.9	9.04	0	223.51
1531.82	-3.85	NAN	-0.02	223.72
1531.76	-3.84	NAN	-0.35	223.92
1531.71	-3.86	8.98	-0.38	224.12
1531.65	-3.66	9.08	0.12	224.33
1531.6	-3.49	9.16	-0.15	224.53
1531.54	-3.49	9.12	0.12	224.73
1531.49	-3.38	NAN	0.05	224.94
1531.43	NAN	9.28	NAN	225.14
1531.38	-3.06	9.26	0.22	225.34
1531.32	-3.01	9.29	0.35	225.55
1531.26	-3	9.19	0.52	225.75
1531.21	-2.97	NAN	0.75	225.95
1531.15	-3.16	9.28	0.66	226.15
1531.09	NAN	9.2	NAN	226.36
1531.03	-3.3	9.17	0.58	226.56
1530.97	-3.78	9.12	-0.29	226.76
1530.91	-3.64	9.11	-0.03	226.97
1530.85	NAN	9.13	NAN	227.17
1530.79	-3.85	9.05	-0.05	227.37
1530.73	-3.59	9.07	0.2	227.58
1530.67	-3.84	9.08	0.1	227.78
1530.61	-3.53	9.08	0.22	227.98
1530.56	-3.6	9.14	0.09	228.18
1530.44	-3.73	9.16	0.37	228.58
1530.38	-3.62	9.14	0.44	228.78
1530.32	NAN	9.12	NAN	228.97
1530.27	NAN	9.11	NAN	229.17
1530.21	-3.29	9.18	0.5	229.37
1530.14	-3.53	9.13	0.22	229.57
1530.08	-3.4	9.13	0.13	229.77
1530.01	NAN	9.16	NAN	229.97
1529.94	-3.44	9.22	0.11	230.17
1529.88	-3.39	9.07	0.02	230.36
1529.81	-3.56	9.03	-0.08	230.56
1529.74	-3.75	9	-0.03	230.76
1529.68	-4.13	8.88	-0.12	230.96
1529.61	-3.89	8.91	-0.03	231.16
1529.54	-3.66	8.92	0.5	231.36
1529.48	-3.95	9.04	0.15	231.56
1529.41	-3.74	9.02	0.52	231.75
1529.34	NAN	9.07	NAN	231.95
1529.28	-3.27	9.15	0.79	232.15
1529.21	-2.94	9.18	0.7	232.35
1529.15	-3.15	9.3	0.46	232.55
1529.1	-3.13	9.22	0.18	232.75
1529.04	-3.18	9.28	0.11	232.95
1528.98	-3.04	9.19	-0.1	233.14
1528.93	-3.48	9.11	-0.23	233.34
1528.87	-3.73	9.03	-0.24	233.54
1528.82	-3.9	9	-0.12	233.74
1528.76	-3.94	8.96	0.02	233.94
1528.71	NAN	8.94	NAN	234.14
1528.65	-3.96	8.95	-0.04	234.34
1528.59	-3.88	NAN	-0.04	234.53
1528.54	-3.9	NAN	0.39	234.73
1528.48	-3.59	NAN	0.5	234.93
1528.43	-3.44	NAN	0.53	235.12
1528.37	-3.22	NAN	0.58	235.32
1528.32	-3.23	NAN	0.18	235.51
1528.26	-3.22	NAN	-0.08	235.71
1528.21	-3.21	9.3	-0.44	235.9
1528.15	-3.4	NAN	-0.45	236.1
1528.09	-3.61	NAN	-0.28	236.3
1528.03	-3.76	9.1	-0.29	236.49
1527.97	-3.65	NAN	-0.15	236.69
1527.91	-3.74	NAN	0.02	236.88
1527.8	-3.65	NAN	0.09	237.28
1527.74	-3.65	NAN	0.15	237.47
1527.62	-3.56	NAN	0.18	237.86
1527.56	-3.36	NAN	0.53	238.06
1527.44	-3.08	NAN	0.26	238.45
1527.38	-3.03	NAN	0.32	238.65
1527.27	-2.93	NAN	0.03	239.04
1527.21	-2.88	9.27	-0.18	239.23
1527.16	-3.17	NAN	-0.29	239.43
1527.11	-3.3	NAN	-0.4	239.63
1527.07	-3.31	NAN	-0.33	239.82
1527.02	-3.62	NAN	-0.47	240.02
1526.97	-3.81	9.14	-0.68	240.21
1526.88	-3.92	NAN	-0.46	240.6
1526.83	-4.06	NAN	-0.31	240.8
1526.78	-4.11	8.98	-0.31	241
1526.73	-3.98	NAN	-0.15	241.19
1526.68	-4	NAN	-0.04	241.39
1526.64	-3.9	NAN	0.22	241.58
1526.59	-3.92	NAN	0.22	241.78
1526.54	-3.83	NAN	0.41	241.98
1526.49	-3.58	NAN	0.59	242.17
1526.45	-3.46	NAN	0.6	242.37
1526.4	-3.24	NAN	0.64	242.56
1526.35	-3.2	NAN	0.42	242.76
1526.3	-3.22	NAN	0.24	242.95
1526.21	-3.14	9.33	-0.06	243.35
1526.15	-3.23	NAN	-0.28	243.54
1526.08	-3.17	NAN	-0.25	243.74
1526.02	-3.3	NAN	-0.17	243.93
1525.96	-3.26	NAN	-0.25	244.13
1525.9	-3.46	NAN	-0.37	244.33
1525.77	-3.74	NAN	-0.06	244.72
1525.71	-3.88	NAN	-0.03	244.91
1525.65	-3.79	NAN	0.1	245.11
1525.58	-3.93	8.99	0.06	245.3
1525.52	-3.83	NAN	0.27	245.5
1525.4	-3.56	NAN	0.54	245.89
1525.33	-3.39	NAN	0.73	246.09
1525.21	-3.16	9.3	0.28	246.49
1525.15	-3.37	NAN	-0.48	246.69
1525.09	-3.3	NAN	-0.41	246.89
1525.03	-3.39	NAN	-0.55	247.09
1524.97	-3.8	NAN	-0.38	247.29
1524.91	-4.12	NAN	-0.41	247.49
1524.86	-4.15	9.1	-0.41	247.69
1524.74	-3.97	NAN	-0.36	248.1
1524.68	-4.09	NAN	-0.32	248.3
1524.62	-3.82	NAN	-0.09	248.5
1524.56	-3.88	NAN	-0.06	248.7
1524.5	-3.64	NAN	0.07	248.9
1524.38	-3.34	NAN	0.36	249.31
1524.33	-3.22	NAN	0.59	249.51
1524.21	-3.04	9.34	0.36	249.91
1524.16	-3.1	NAN	0.15	250.11
1524.08	-3.35	NAN	-0.28	250.52
1524.03	-3.55	NAN	-0.23	250.72
1523.95	-3.62	NAN	-0.19	251.12
1523.9	-3.88	NAN	-0.08	251.32
1523.81	-3.85	NAN	-0.11	251.73
1523.77	-3.98	NAN	-0.12	251.93
1523.73	-4.23	9.01	-0.17	252.13
1523.6	-4.01	NAN	0.29	252.73
1523.51	-3.67	NAN	0.51	253.13
1523.47	-3.52	NAN	0.63	253.33
1523.42	-3.57	NAN	0.59	253.53
1523.38	-3.45	NAN	0.71	253.73
1523.34	-3.35	NAN	0.51	253.92
1523.29	-3.3	NAN	0.28	254.12
1523.25	-3.24	NAN	0.08	254.32
1523.21	-3.2	9.24	-0.23	254.52
1523.14	-3.29	NAN	-0.32	254.72
1523.07	-3.63	NAN	-0.37	254.92
1522.99	-3.76	NAN	-0.32	255.11
1522.92	-3.79	NAN	-0.11	255.31
1522.85	-3.89	NAN	-0.07	255.51
1522.78	-3.97	NAN	0.07	255.71
1522.71	-3.96	NAN	-0.06	255.91
1522.64	-4.07	9.02	0	256.11
1522.57	-3.96	NAN	0.06	256.3
1522.49	-3.87	NAN	0.13	256.5
1522.42	-3.74	NAN	0.36	256.7
1522.35	-3.57	NAN	0.45	256.9
1522.28	-3.51	NAN	0.44	257.1
1522.21	-3.18	9.3	0.58	257.3
1522.16	-3.21	NAN	0.51	257.49
1522.02	-3.34	NAN	-0.04	258.09
1521.97	-3.24	NAN	-0.3	258.29
1521.92	-3.72	NAN	-0.35	258.49
1521.87	-3.8	NAN	-0.28	258.69
1521.83	-4	NAN	-0.49	258.88
1521.78	-4.1	NAN	-0.45	259.08
1521.73	-4.08	NAN	-0.21	259.28
1521.68	-4.18	9.03	-0.08	259.48
1521.64	-4.15	NAN	0.06	259.68
1521.59	-4.14	NAN	0.18	259.87
1521.54	-3.93	NAN	0.38	260.07
1521.49	-3.89	NAN	0.48	260.27
1521.45	-3.74	NAN	0.48	260.47
1521.4	-3.64	NAN	0.54	260.67
1521.35	-3.48	NAN	0.61	260.86
1521.3	-3.37	NAN	0.54	261.06
1521.26	-3.31	NAN	0.34	261.26
1521.21	-3.25	9.37	0.24	261.46
1521.15	-3.53	NAN	0.01	261.66
1521.1	-3.72	NAN	-0.21	261.86
1521.04	-3.8	NAN	-0.43	262.05
1520.99	-4.08	NAN	-0.4	262.25
1520.93	-4.06	NAN	-0.26	262.45
1520.88	-4.17	NAN	-0.07	262.65
1520.76	-4.18	9	0.14	263.04
1520.71	-4.14	NAN	0.2	263.24
1520.65	-3.99	NAN	0.23	263.44
1520.6	-4.05	NAN	0.22	263.64
1520.54	-3.94	NAN	0.37	263.84
1520.49	-3.66	NAN	0.46	264.03
1520.43	-3.48	NAN	0.65	264.23
1520.38	-3.4	NAN	0.62	264.43
1520.32	-3.34	NAN	0.58	264.63
1520.21	-3.29	9.41	0.18	265.03
1520.16	-3.36	NAN	-0.05	265.22
1520.1	-3.48	NAN	-0.09	265.42
1520.05	-3.54	NAN	-0.2	265.62
1520	-3.7	NAN	-0.38	265.82
1519.95	-3.99	NAN	-0.32	266.02
1519.89	-4	NAN	-0.22	266.21
1519.84	-4.11	NAN	-0.08	266.41
1519.79	-4.16	9.02	-0.03	266.61
1519.73	-4.35	NAN	0.07	266.81
1519.68	-4.13	NAN	0.16	267.01
1519.63	-4.07	NAN	0.13	267.2
1519.58	-4.15	NAN	0.29	267.4
1519.52	-3.88	NAN	0.47	267.6
1519.47	-3.81	NAN	0.62	267.8
1519.42	-3.37	NAN	0.66	268
1519.37	-3.25	NAN	0.86	268.2
1519.31	-3.26	NAN	0.7	268.39
1519.26	-3.23	NAN	0.51	268.59
1519.21	-3.15	9.33	0.41	268.79
